Variable,Description,Type,Value range,Notes,Stage (raw/preprocessed),Required,,
X,Index of the row in the original stimuli data table.,discrete,>= 1 (row index),,Raw,Yes,,
trial,Trial number within the block.,discrete,1~20,Redundant with partnerTrialNumber but name is less explicit,Raw,No,,
profile,Partner profile label.,nominal,"Trustworthy to Untrustworthy, Unstable High-Mid to Stable, Unstable Low-Mid to Stable, Untrustworthy to Trustworthy",,Raw,Yes,,
profile_codename,Codename for the partner profile.,nominal,"trustFirst, unstHiFirst, unstLoFirst, untrustFirst",,Raw,Yes,,
volatility,Volatility of the partner/profile.,ordinal,"high, low, mid",,Raw,Yes,,
reversal,Reversal indicator ,discrete,0 or 1,"1 signifies that a reversal has happened and that the current trial's pRecip translates a reversal of the reciprocity profile, 0 is no reversal or pre-reversal",Raw,Yes,,
partner,Partner display name.,nominal,"machine: 01kc6, 7d5d, je7v4a, ys87cu ; human: Alex (will become Sam), Kendall, Robin, Taylor",,Raw,Yes,,
color,Avatar color for the current partner.,nominal,"blue, green, purple, red",,Raw,No,,
pRecip,Proportion of the amount received by the partner that is sent back to the participant.,continuous,0 to 1,,Raw,Yes,,
partnerTrialNumber,Within-partner trial index.,discrete,1 to 20,,Raw,Yes,,
condition,"Task condition (i.e., human vs machine).",nominal,"machine, social",,Raw,Yes,,
trialType,Trial type (whether partner is trustworthy or not),nominal,"trust, untrust",Is based on partner profile,Raw,Yes,,
subject,Subject identifier.,nominal,1 to nSubjects,,Raw,Yes,,
expBlock,Experiment's block index.,discrete,1 to 4,,Raw,Yes,,
trials.thisRepN,,,0,,Raw,No,,
trials.thisTrialN,,,,,Raw,No,,
trials.thisN,Trial number overall (across blocks),discrete,0-39,,Raw,Yes,,
trials.thisIndex,,,,,Raw,No,,
participant_kept,Amount kept by the participant on the trial.,discrete,0 to 9,,Raw,Yes,,
partner_receive,Amount received by the partner (tripled sent amount).,discrete,>1,,Raw,Yes,,
participant_outcome,Participant's payoff for the trial.,discrete,>0,,Raw,Yes,,
partner_reciprocate,Amount reciprocated by the partner on the trial (pRecip*partner_recieve),continuous,0-30,,Raw,Yes,,
partner_outcome,Partner's payoff for the trial.,discrete,>1,,Raw,Yes,,
scannerTimer_sync,Scanner time at sync complete,,~0,Should ~0,Raw,Yes,,
key_resp.keys,,,,,Raw,No,,
key_resp.started,,,,,Raw,No,,
sync_scanner_sync_text_started,,,,,Raw,No,,
scannerTimer_dummy_Start,Scanner timer at dummy start,Continuous,,,Raw,Yes,,
dummy_dummy_fix_started,,,,,Raw,No,,
scannerTimer_dummy_End,Scanner timer at dummy end,Continuous,,,Raw,No,,
scannerTimer_condition_Start,Scanner timer at new condition start,Continuous,,,Raw,Yes,,
partnerName,Partner display name,nominal,"machine: 01kc6, 7d5d, je7v4a, ys87cu ; human: Sam, Kendall, Robin, Taylor",,Raw,Yes,,
partnerColor,Avatar color for the current partner,nominal,"blue, green, purple, red",,Raw,Yes,,
condition_agent_image_started,,,,,Raw,No,,
scannerTimer_fixation1_Start,Scanner timer at fixation start,Continuous,,,Raw,Yes,,
jitter1,Jitter 1 (fixation),,0.5~2.5,,Raw,Yes,,
fixation1_fixation1_cross_started,,,,,Raw,No,,
scannerTimer_choice_Start,Scanner timer at choice start,Continuous,,,Raw,Yes,,
choice_keys,Choice keypress list,nominal,"e.g. ['right','right']",List of keypresses on slider,Raw,Yes,,
choice_you_started,,,,,Raw,No,,
scannerTimer_wait_Start,Scanner timer at wait for response start,Continuous,,,Raw,Yes,,
responded,Responded or not,Boolean,"0,1","0 = missed response, 1 = responded",Raw,Yes,,
jitter2,Jitter 2 (wait),,1~3,,Raw,Yes,,
wait_you_2_started,,,,,Raw,No,,
scannerTimer_feedback_Start,Scanner timer at feedback start,Continuous,,,Raw,Yes,,
feedback_you_3_started,,,,,Raw,No,,
scannerTimer_trial_End,Scanner timer at end of trial,Continuous,,,Raw,Yes,,
slider_response,Amount sent by the participant on the trial.,discrete,1 to 10,,Raw,Yes,,Renamed it to participant_sent in pilot
choice_RTs,RT of all keypress in choice,continuous,< 4,List of RTs,Raw,Yes,,
choice_finalRT,RT of final keypress in choice,continuous,< 4,,Raw,Yes,,
pOrder,pOrder,discrete,1-150,,Raw,Yes,,
Section,Section,discrete,"1,2","1 for first section (first 40 trials), 2 for second section (41-80 trials)",Raw,Yes,,
date,Date and time,String, in YYYY_Month_DD_HHMM format (e.g. 2025_Aug_19_1345),,Raw,Yes,,
expName,Experiment name,String,,,Raw,Yes,,
psychopyVersion,Version of psychopy used (e.g. 2021.1.2),String,,,Raw,Yes,,
frameRate,Records the monitor's frame rate (in fps),Continuous,~60,,Raw,Yes,,